Device Name,Device Address,RSSI,Details
35:96:A2:84:73:8F,35:96:A2:84:73:8F,-40,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8025B2370>, scan=None)"
2B:8C:7C:89:E2:51,2B:8C:7C:89:E2:51,-70,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8025B3FB0>, scan=None)"
26:40:A5:90:5D:CD,26:40:A5:90:5D:CD,-72,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8025B39F0>, scan=None)"
73:CA:F1:F8:45:53,73:CA:F1:F8:45:53,-74,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8025B2410>, scan=None)"
17:8B:D4:74:84:46,17:8B:D4:74:84:46,-78,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8025B39D0>, scan=None)"
26:F0:86:AA:C5:0E,26:F0:86:AA:C5:0E,-80,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8025B3D50>, scan=None)"
28:D6:82:A3:F3:29,28:D6:82:A3:F3:29,-80,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8025B3950>, scan=None)"
17:B1:D6:5E:48:1F,17:B1:D6:5E:48:1F,-82,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8025B3E70>, scan=None)"
65:C9:7C:4A:39:64,65:C9:7C:4A:39:64,-76,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8029CC0F0>, scan=None)"
0B:30:81:07:BD:22,0B:30:81:07:BD:22,-78,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8029CC550>, scan=None)"
E4:C9:81:19:C7:85,E4:C9:81:19:C7:85,-78,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8029CC690>, scan=None)"
2F:E4:3B:64:DC:44,2F:E4:3B:64:DC:44,-78,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8029CC830>, scan=None)"
