_id,MAC_add,chais[0],chais[1],chais[2],chais[3],chais[4],chais[5],chais[6],chais[7],chais[8],chais[9],chais[10],chais[11],chais[12],chais[13],chais[14],chais[15],chais[16],chais[17],chais[18],chais[19],chais[20],chais[21],chais[22],chais[23],chais[24],chais[25],neon[0],neon[1],neon[2],neon[3],neon[4],neon[5],neon[6],neon[7]
6610f7ed7b27d166a1a22d18,34:04:C0:51:0C:00,1712388064,1712388092,1712388246,1712388270,1712388325,1712388374,1712388427,1712388476,1712388503,1712388526,1712388554,1712388582,1712388604,1712388628,1712388649,1712388701,1712388772,1712388796,1712388888,1712388947,1712389227,1712389395,1712389421,1712389683,1712389802,1712390250,1712390320,1712390411,,,,,,
6610f7ee7b27d166a1a22d1b,00:18:CE:2F:FD:77,1712388064,1712388092,1712388123,1712388149,1712388176,1712391748,,,,,,,,,,,,,,,,,,,,,1712388515,1712388541,1712388562,1712388587,1712388691,1712388786,1712388812,
6610f7ee7b27d166a1a22d1c,D0:49:7C:4E:F0:A2,1712388064,1712388092,1712388123,1712388149,1712388176,,,,,,,,,,,,,,,,,,,,,,1712388515,1712388541,1712388562,1712388587,1712388691,1712388748,1712388786,1712388812
6610f87e7b27d166a1a22d2c,D3:24:1D:34:32:8F,1712388209,1712388233,1712388258,1712388391,1712388415,1712388514,1712388541,1712388591,1712388663,1712388736,1712388907,1712388983,1712389178,1712389522,1712389548,1712389570,1712389595,1712389957,1712390187,,,,,,,,1712390522,,,,,,,
6610f9abbc6dd901768db140,4C:EA:AE:7E:EB:02,1712388526,,,,,,,,,,,,,,,,,,,,,,,,,,1712388515,,,,,,,
6610f9cf7b27d166a1a22d52,FC:C1:B5:55:D3:7A,1712388554,,,,,,,,,,,,,,,,,,,,,,,,,,1712388587,,,,,,,
6610fa657b27d166a1a22d64,98:09:CF:9B:F7:A3,1712388701,,,,,,,,,,,,,,,,,,,,,,,,,,1712388748,,,,,,,
6610faac7b27d166a1a22d68,94:8A:C6:61:6E:C2,1712388772,,,,,,,,,,,,,,,,,,,,,,,,,,1712388812,,,,,,,
6610faae7b27d166a1a22d6a,B4:31:61:2A:76:9A,1712388772,,,,,,,,,,,,,,,,,,,,,,,,,,1712388812,,,,,,,
6610fb020895a6b7f2a1265b,34:47:9A:1E:DD:3A,1712388888,,,,,,,,,,,,,,,,,,,,,,,,,,1712388865,,,,,,,
6610fb480895a6b7f2a12660,F8:AD:24:9A:9F:94,1712388947,,,,,,,,,,,,,,,,,,,,,,,,,,1712388936,,,,,,,
6610fb567b27d166a1a22d72,BD:94:6D:D4:42:41,1712388934,1712388947,,,,,,,,,,,,,,,,,,,,,,,,,1712388969,1712388987,,,,,,
6610fb6e7b27d166a1a22d74,E4:B3:D6:5C:8C:5D,1712388959,,,,,,,,,,,,,,,,,,,,,,,,,,1712388995,,,,,,,
6610fb757b27d166a1a22d76,B0:6E:72:86:32:2A,1712388971,,,,,,,,,,,,,,,,,,,,,,,,,,1712389008,,,,,,,
6610fc1c0895a6b7f2a1267b,00:00:00:00:00:00,1712389762,1712390734,,,,,,,,,,,,,,,,,,,,,,,,,1712389134,1712389797,1712391809,,,,,
6610fc21b0295f78c6f4d489,AC:76:4C:D1:8E:7C,1712389142,,,,,,,,,,,,,,,,,,,,,,,,,,1712389168,,,,,,,
6610fc79b0295f78c6f4d490,41:42:A1:ED:00:00,1712389227,,,,,,,,,,,,,,,,,,,,,,,,,,1712389271,,,,,,,
6610fc79b0295f78c6f4d491,88:A3:03:83:BB:C1,1712389227,,,,,,,,,,,,,,,,,,,,,,,,,,1712389271,,,,,,,
6610fcc8b0295f78c6f4d497,D0:49:7C:9C:2E:B9,1712389310,,,,,,,,,,,,,,,,,,,,,,,,,,1712389343,,,,,,,
6610fce20895a6b7f2a12698,48:C4:61:A6:A2:8E,1712389359,,,,,,,,,,,,,,,,,,,,,,,,,,1712389343,,,,,,,
6610fce1b0295f78c6f4d499,44:8C:00:5C:17:D0,1712389335,,,,,,,,,,,,,,,,,,,,,,,,,,1712389428,,,,,,,
6610fcf4b0295f78c6f4d49c,40:44:FD:4D:3B:F4,1712389359,,,,,,,,,,,,,,,,,,,,,,,,,,1712389402,,,,,,,
6610fd36b0295f78c6f4d4a5,E4:F1:D4:56:34:D4,1712389421,,,,,,,,,,,,,,,,,,,,,,,,,,1712389454,,,,,,,
6610fd900895a6b7f2a126ad,60:C7:BE:23:8D:D2,1712389535,,,,,,,,,,,,,,,,,,,,,,,,,,1712389518,,,,,,,
6610fdc20895a6b7f2a126b1,38:6F:6B:29:E4:8A,1712389582,,,,,,,,,,,,,,,,,,,,,,,,,,1712389569,,,,,,,
6610fdd9b0295f78c6f4d4b0,41:42:CB:22:C0:26,1712389582,,,,,,,,,,,,,,,,,,,,,,,,,,1712389620,,,,,,,
6610fdd9b0295f78c6f4d4b1,F0:62:5A:AD:21:7E,1712389582,,,,,,,,,,,,,,,,,,,,,,,,,,1712389620,,,,,,,
6610fe1cb0295f78c6f4d4b9,40:45:DA:8C:EA:E9,1712389655,1712389683,1712392209,,,,,,,,,,,,,,,,,,,,,,,,1712391989,1712392233,,,,,,
6610fe3fb0295f78c6f4d4be,48:74:12:40:38:EA,1712389683,,,,,,,,,,,,,,,,,,,,,,,,,,1712389706,,,,,,,
6610fe820895a6b7f2a126c9,10:82:D7:2C:EE:14,1712389775,,,,,,,,,,,,,,,,,,,,,,,,,,1712389757,,,,,,,
6610feb5b0295f78c6f4d4d1,30:BB:7D:C3:A2:80,1712389802,,,,,,,,,,,,,,,,,,,,,,,,,,1712389821,,,,,,,
