_id,MAC_add,chais[0],chais[1],chais[2],chais[3],chais[4],chais[5],chais[6],chais[7],chais[8],chais[9],chais[10],chais[11],chais[12],chais[13],chais[14],chais[15],chais[16],chais[17],chais[18],chais[19],chais[20],chais[21],chais[22],chais[23],chais[24],chais[25],neon[0],neon[1],neon[2],neon[3],neon[4],neon[5],neon[6],neon[7]
6644859d37bb5756e82c11da,34:04:C0:51:0C:00,2024-04-06 12:51:04,2024-04-06 12:51:32,2024-04-06 12:54:06,2024-04-06 12:54:30,2024-04-06 12:55:25,2024-04-06 12:56:14,2024-04-06 12:57:07,2024-04-06 12:57:56,2024-04-06 12:58:23,2024-04-06 12:58:46,2024-04-06 12:59:14,2024-04-06 12:59:42,2024-04-06 13:00:04,2024-04-06 13:00:28,2024-04-06 13:00:49,2024-04-06 13:01:41,2024-04-06 13:02:52,2024-04-06 13:03:16,2024-04-06 13:04:48,2024-04-06 13:05:47,2024-04-06 13:10:27,2024-04-06 13:13:15,2024-04-06 13:13:41,2024-04-06 13:18:03,2024-04-06 13:20:02,2024-04-06 13:27:30,2024-04-06 13:28:40,2024-04-06 13:30:11,,,,,,
6644859d37bb5756e82c11db,00:18:CE:2F:FD:77,2024-04-06 12:51:04,2024-04-06 12:51:32,2024-04-06 12:52:03,2024-04-06 12:52:29,2024-04-06 12:52:56,2024-04-06 13:52:28,,,,,,,,,,,,,,,,,,,,,2024-04-06 12:58:35,2024-04-06 12:59:01,2024-04-06 12:59:22,2024-04-06 12:59:47,2024-04-06 13:01:31,2024-04-06 13:03:06,2024-04-06 13:03:32,
6644859d37bb5756e82c11dc,D0:49:7C:4E:F0:A2,2024-04-06 12:51:04,2024-04-06 12:51:32,2024-04-06 12:52:03,2024-04-06 12:52:29,2024-04-06 12:52:56,,,,,,,,,,,,,,,,,,,,,,2024-04-06 12:58:35,2024-04-06 12:59:01,2024-04-06 12:59:22,2024-04-06 12:59:47,2024-04-06 13:01:31,2024-04-06 13:02:28,2024-04-06 13:03:06,2024-04-06 13:03:32
6644859d37bb5756e82c11dd,D3:24:1D:34:32:8F,2024-04-06 12:53:29,2024-04-06 12:53:53,2024-04-06 12:54:18,2024-04-06 12:56:31,2024-04-06 12:56:55,2024-04-06 12:58:34,2024-04-06 12:59:01,2024-04-06 12:59:51,2024-04-06 13:01:03,2024-04-06 13:02:16,2024-04-06 13:05:07,2024-04-06 13:06:23,2024-04-06 13:09:38,2024-04-06 13:15:22,2024-04-06 13:15:48,2024-04-06 13:16:10,2024-04-06 13:16:35,2024-04-06 13:22:37,2024-04-06 13:26:27,,,,,,,,2024-04-06 13:32:02,,,,,,,
6644859d37bb5756e82c11de,4C:EA:AE:7E:EB:02,2024-04-06 12:58:46,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 12:58:35,,,,,,,
6644859d37bb5756e82c11df,FC:C1:B5:55:D3:7A,2024-04-06 12:59:14,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 12:59:47,,,,,,,
6644859d37bb5756e82c11e0,98:09:CF:9B:F7:A3,2024-04-06 13:01:41,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:02:28,,,,,,,
6644859d37bb5756e82c11e1,94:8A:C6:61:6E:C2,2024-04-06 13:02:52,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:03:32,,,,,,,
6644859d37bb5756e82c11e2,B4:31:61:2A:76:9A,2024-04-06 13:02:52,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:03:32,,,,,,,
6644859d37bb5756e82c11e3,34:47:9A:1E:DD:3A,2024-04-06 13:04:48,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:04:25,,,,,,,
