_id,MAC_add,neon[0],neon[1],neon[2],neon[3],neon[4],neon[5],neon[6],neon[7],chais[0],chais[1],chais[2],chais[3],chais[4],chais[5],chais[6],chais[7],chais[8],chais[9],chais[10],chais[11],chais[12],chais[13],chais[14],chais[15],chais[16],chais[17],chais[18],chais[19],chais[20],chais[21],chais[22],chais[23],chais[24],chais[25]
855986f926654f77b200a76e,34:04:C0:51:0C:00,1712390320,1712390411,,,,,,,1712388064,1712388092,1712388246,1712388270,1712388325,1712388374,1712388427,1712388476,1712388503,1712388526,1712388554,1712388582,1712388604,1712388628,1712388649,1712388701,1712388772,1712388796,1712388888,1712388947,1712389227,1712389395,1712389421,1712389683,1712389802,1712390250
a0f8389ee95047ec8322949b,00:18:CE:2F:FD:77,1712388515,1712388541,1712388562,1712388587,1712388691,1712388786,1712388812,,1712388064,1712388092,1712388123,1712388149,1712388176,1712391748,,,,,,,,,,,,,,,,,,,,
98ccf7d5cef64751a9663700,D0:49:7C:4E:F0:A2,1712388515,1712388541,1712388562,1712388587,1712388691,1712388748,1712388786,1712388812,1712388064,1712388092,1712388123,1712388149,1712388176,,,,,,,,,,,,,,,,,,,,,
a5e2c06839554dbeb9ef18f4,D3:24:1D:34:32:8F,1712390522,,,,,,,,1712388209,1712388233,1712388258,1712388391,1712388415,1712388514,1712388541,1712388591,1712388663,1712388736,1712388907,1712388983,1712389178,1712389522,1712389548,1712389570,1712389595,1712389957,1712390187,,,,,,,
3fec1b570f134af380f84737,4C:EA:AE:7E:EB:02,1712388515,,,,,,,,1712388526,,,,,,,,,,,,,,,,,,,,,,,,,
a68c969fd77d444d8f1d0b2d,FC:C1:B5:55:D3:7A,1712388587,,,,,,,,1712388554,,,,,,,,,,,,,,,,,,,,,,,,,
306576322ea0403abac46caf,98:09:CF:9B:F7:A3,1712388748,,,,,,,,1712388701,,,,,,,,,,,,,,,,,,,,,,,,,
8e85daf595cc4fbea2214ded,94:8A:C6:61:6E:C2,1712388812,,,,,,,,1712388772,,,,,,,,,,,,,,,,,,,,,,,,,
c97a6b64ee9d4debbecc9030,B4:31:61:2A:76:9A,1712388812,,,,,,,,1712388772,,,,,,,,,,,,,,,,,,,,,,,,,
6150a279b4fe4494974acb4f,34:47:9A:1E:DD:3A,1712388865,,,,,,,,1712388888,,,,,,,,,,,,,,,,,,,,,,,,,
