_id,MAC_add,pie1[0],pie1[1],pie1[2],pie1[3],pie1[4],pie1[5],pie1[6],pie1[7],pie1[8],pie1[9],pie1[10],pie1[11],pie1[12],pie1[13],pie1[14],pie1[15],pie1[16],pie1[17],pie1[18],pie1[19],pie1[20],pie1[21],pie1[22],pie1[23],pie1[24],pie1[25],pie1[26],pie1[27],pie1[28],pie1[29],pie1[30],pie1[31],pie1[32],pie1[33],pie1[34],pie1[35],pie1[36],pie1[37],pie1[38],pie1[39],pie1[40],pie1[41],pie1[42],pie1[43],pie1[44],pie1[45],pie1[46],pie1[47],pie1[48],pie1[49],pie1[50],pie1[51],pie1[52],pie1[53],pie1[54],pie1[55],pie1[56],pie1[57],pie1[58],pie1[59],pie1[60],pie1[61],pie1[62],pie1[63],pie1[64],pie1[65],pie1[66],pie1[67],pie1[68],pie1[69],pie1[70],pie1[71],pie1[72],pie1[73],pie1[74],pie1[75],pie1[76],pie1[77],pie1[78],pie1[79],pie1[80],pie1[81],pie1[82],pie1[83],pie1[84],pie1[85],pie1[86],pie1[87],pie1[88],pie1[89],pie1[90],pie1[91],pie1[92],pie1[93],pie1[94],pie1[95],pie2[0]
888e6bba702141bebcfbbe01,4D:77:79:31:E9:92,2024-06-04 09:08:59,2024-06-04 09:09:15,2024-06-04 09:09:32,2024-06-04 09:09:48,2024-06-04 09:10:21,2024-06-04 09:10:37,2024-06-04 09:10:54,2024-06-04 09:11:15,2024-06-04 09:11:30,2024-06-04 09:11:46,2024-06-04 09:12:02,2024-06-04 09:12:23,2024-06-04 09:12:39,2024-06-04 09:12:54,2024-06-04 09:13:10,2024-06-04 09:13:26,2024-06-04 09:13:42,2024-06-04 09:13:57,2024-06-04 09:14:13,2024-06-04 09:14:29,2024-06-04 09:14:45,2024-06-04 09:15:01,2024-06-04 09:15:21,2024-06-04 09:15:37,2024-06-04 09:15:53,2024-06-04 09:16:09,2024-06-04 09:16:24,2024-06-04 09:16:40,2024-06-04 09:16:57,2024-06-04 09:17:18,2024-06-04 09:17:49,2024-06-04 09:18:05,2024-06-04 09:18:26,2024-06-04 09:18:41,2024-06-04 09:18:57,2024-06-04 09:19:13,2024-06-04 09:19:29,2024-06-04 09:19:45,2024-06-04 09:20:00,2024-06-04 09:20:21,2024-06-04 09:20:37,2024-06-04 09:20:53,2024-06-04 09:21:14,2024-06-04 09:21:35,2024-06-04 09:21:50,2024-06-04 09:22:06,2024-06-04 09:22:22,2024-06-04 09:22:38,2024-06-04 09:22:53,2024-06-04 09:23:09,2024-06-04 09:23:25,2024-06-04 09:23:41,2024-06-04 09:23:56,2024-06-04 09:24:12,2024-06-04 09:24:28,2024-06-04 09:24:44,2024-06-04 09:25:00,2024-06-04 09:25:15,2024-06-04 09:25:31,2024-06-04 09:25:47,2024-06-04 09:26:03,2024-06-04 09:26:18,2024-06-04 09:26:34,2024-06-04 09:27:00,2024-06-04 09:27:16,2024-06-04 09:27:32,2024-06-04 09:27:48,2024-06-04 09:28:03,2024-06-04 09:28:24,2024-06-04 09:28:40,2024-06-04 09:29:01,2024-06-04 09:29:22,2024-06-04 09:29:43,2024-06-04 09:29:58,2024-06-04 09:30:14,2024-06-04 09:30:30,2024-06-04 09:30:46,2024-06-04 09:31:07,2024-06-04 09:31:22,2024-06-04 09:31:38,2024-06-04 09:32:04,2024-06-04 09:32:20,2024-06-04 09:32:36,2024-06-04 09:32:57,2024-06-04 09:33:13,2024-06-04 09:33:28,2024-06-04 09:33:44,2024-06-04 09:34:00,2024-06-04 09:34:16,2024-06-04 09:34:38,2024-06-04 09:34:55,2024-06-04 09:35:16,2024-06-04 09:35:32,2024-06-04 09:35:53,2024-06-04 09:36:08,2024-06-04 09:36:24,
fd80b0b282f64a439edb1f24,F7:20:0E:26:10:33,2024-06-04 09:08:59,2024-06-04 09:09:15,2024-06-04 09:09:32,2024-06-04 09:09:48,2024-06-04 09:10:21,2024-06-04 09:10:37,2024-06-04 09:10:54,2024-06-04 09:11:15,2024-06-04 09:11:30,2024-06-04 09:11:46,2024-06-04 09:12:02,2024-06-04 09:12:23,2024-06-04 09:12:39,2024-06-04 09:15:53,2024-06-04 09:16:09,2024-06-04 09:19:13,2024-06-04 09:58:09,2024-06-04 09:59:02,2024-06-04 09:59:18,2024-06-04 10:03:21,2024-06-04 10:03:38,2024-06-04 10:03:55,2024-06-04 10:04:11,2024-06-04 10:04:28,2024-06-04 10:04:45,2024-06-04 10:05:01,2024-06-04 10:05:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc90d62a0dc943c9b5ebb399,E8:01:03:41:1D:60,2024-06-04 09:08:59,2024-06-04 09:09:15,2024-06-04 09:09:32,2024-06-04 09:09:48,2024-06-04 09:10:21,2024-06-04 09:10:37,2024-06-04 09:10:54,2024-06-04 09:11:15,2024-06-04 09:11:30,2024-06-04 09:11:46,2024-06-04 09:12:02,2024-06-04 09:12:23,2024-06-04 09:12:39,2024-06-04 09:12:54,2024-06-04 09:13:10,2024-06-04 09:13:26,2024-06-04 09:13:42,2024-06-04 09:13:57,2024-06-04 09:14:13,2024-06-04 09:14:29,2024-06-04 09:14:45,2024-06-04 09:15:01,2024-06-04 09:15:21,2024-06-04 09:15:37,2024-06-04 09:15:53,2024-06-04 09:16:09,2024-06-04 09:16:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177f3d98617646f794ebf49e,00:18:CE:2F:FD:77,2024-06-04 09:08:59,2024-06-04 09:09:15,2024-06-04 09:09:32,2024-06-04 09:09:48,2024-06-04 09:10:21,2024-06-04 09:10:37,2024-06-04 09:10:54,2024-06-04 10:03:38,2024-06-04 10:03:55,2024-06-04 10:04:11,2024-06-04 10:04:28,2024-06-04 10:04:45,2024-06-04 10:05:01,2024-06-04 10:05:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61f0df29fc144497946ad133,F9:DA:50:08:1A:30,2024-06-04 09:09:32,2024-06-04 09:09:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7257f7199a2845dbbe79415c,7A:D7:92:AB:35:2F,2024-06-04 09:09:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a157b52e34ff4a83a76f5edb,70:34:89:A3:64:A8,2024-06-04 09:09:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5a311bf5c064d51b2496359,4E:DD:5F:F7:9A:47,2024-06-04 09:09:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a4e00b78f474fe8b86102b4,47:9C:0D:B3:14:7B,2024-06-04 09:10:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5863235dba2d4d7bacbb3831,C4:A1:5F:B5:5E:16,2024-06-04 09:10:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-04 09:26:39
