MAC_add,202,room202,room202_1,room202_2
34:F0:43:47:6A:5C,"[1709848775, 1709848793, 1709848811, 1709848829, 1709848847, 1709848864, 1709848882, 1709848897, 1709848912, 1709848930, 1709848948, 1709848966]","[1709849128, 1709849144, 1709849159, 1709849174, 1709849192, 1709849210, 1709849225, 1709849241, 1709849256, 1709849274, 1709849292, 1709849307, 1709849322, 1709849337, 1709849353, 1709849368, 1709849383, 1709849398, 1709849413, 1709849429, 1709849444, 1709849459, 1709849474, 1709849490, 1709849505, 1709849520, 1709849536, 1709849554, 1709849572, 1709849587, 1709849605, 1709849620, 1709849635, 1709849651, 1709849666, 1709849681, 1709849696]","[1709849748, 1709849763, 1709849779]","[1709849905, 1709849920, 1709849936, 1709849951, 1709849967, 1709849982]"
00:14:41:22:CE:7A,"[1709848775, 1709848793, 1709848811, 1709848829, 1709848847, 1709848864, 1709848882, 1709848897, 1709848912, 1709848930, 1709848948, 1709848966]","[1709849128, 1709849144, 1709849159, 1709849174, 1709849192, 1709849210, 1709849225, 1709849241, 1709849256, 1709849274, 1709849292, 1709849307, 1709849322, 1709849337, 1709849353, 1709849368, 1709849383, 1709849398, 1709849413, 1709849429, 1709849444, 1709849459, 1709849474, 1709849490, 1709849505, 1709849520, 1709849536, 1709849554, 1709849572, 1709849587, 1709849605, 1709849620, 1709849635, 1709849651, 1709849666, 1709849681, 1709849696]","[1709849748, 1709849763, 1709849779]","[1709849905, 1709849920, 1709849936, 1709849951, 1709849967, 1709849982]"
F8:5B:6E:5B:18:38,"[1709848775, 1709848793, 1709848811, 1709848829, 1709848847, 1709848864, 1709848882, 1709848897, 1709848912, 1709848930, 1709848948, 1709848966]","[1709849128, 1709849144, 1709849159, 1709849174, 1709849192, 1709849210, 1709849225, 1709849241, 1709849256, 1709849274, 1709849292, 1709849307, 1709849322, 1709849337, 1709849353, 1709849368, 1709849383, 1709849398, 1709849413, 1709849429, 1709849444, 1709849459, 1709849474, 1709849490, 1709849505, 1709849520, 1709849536, 1709849554, 1709849572, 1709849587, 1709849605, 1709849620, 1709849635, 1709849651, 1709849666, 1709849681, 1709849696]","[1709849748, 1709849763, 1709849779]","[1709849905, 1709849920, 1709849936, 1709849951, 1709849967, 1709849982]"
A2:5D:B6:45:56:56,"[1709848775, 1709848793, 1709848811, 1709848829, 1709848847, 1709848864, 1709848882, 1709848897, 1709848912, 1709848930, 1709848948, 1709848966]","[1709849128, 1709849144, 1709849159, 1709849174, 1709849192, 1709849210, 1709849225, 1709849241, 1709849256, 1709849274, 1709849292, 1709849307, 1709849322, 1709849337, 1709849353, 1709849368, 1709849383, 1709849398, 1709849413, 1709849429, 1709849444, 1709849459, 1709849474, 1709849490, 1709849505, 1709849520, 1709849536, 1709849554, 1709849572, 1709849587, 1709849605, 1709849620, 1709849635, 1709849651, 1709849666, 1709849681, 1709849696]","[1709849748, 1709849763, 1709849779]","[1709849905, 1709849920, 1709849936, 1709849951, 1709849967, 1709849982]"
84:5F:04:4D:9B:91,"[1709848775, 1709848793, 1709848811, 1709848829, 1709848847, 1709848864, 1709848882, 1709848897, 1709848912, 1709848930, 1709848948, 1709848966]","[1709849128, 1709849144, 1709849159, 1709849174, 1709849192, 1709849210, 1709849225, 1709849241, 1709849256, 1709849274, 1709849292, 1709849307, 1709849322, 1709849337, 1709849353, 1709849368, 1709849383, 1709849398, 1709849413, 1709849429, 1709849444, 1709849459, 1709849474, 1709849490, 1709849505, 1709849520, 1709849536, 1709849554, 1709849572, 1709849587, 1709849605, 1709849620, 1709849635, 1709849651, 1709849666, 1709849681, 1709849696]","[1709849748, 1709849763, 1709849779]","[1709849905, 1709849920, 1709849936, 1709849951, 1709849967, 1709849982]"
8C:64:A2:75:03:D7,"[1709848775, 1709848793, 1709848811, 1709848829, 1709848847, 1709848864, 1709848882, 1709848897, 1709848912, 1709848930, 1709848948, 1709848966]","[1709849128, 1709849144, 1709849159, 1709849174, 1709849192, 1709849210, 1709849225, 1709849241, 1709849256, 1709849274, 1709849292, 1709849307, 1709849322, 1709849337, 1709849353, 1709849368, 1709849383, 1709849398, 1709849413, 1709849429, 1709849444, 1709849459, 1709849474, 1709849490, 1709849505, 1709849520, 1709849536, 1709849554, 1709849572, 1709849587, 1709849605, 1709849620, 1709849635, 1709849651, 1709849666, 1709849681, 1709849696]","[1709849748, 1709849763, 1709849779]","[1709849905, 1709849920, 1709849936, 1709849951, 1709849967, 1709849982]"
41:42:11:A4:E5:AE,"[1709848775, 1709848793, 1709848811, 1709848829, 1709848847, 1709848864, 1709848882, 1709848897, 1709848912, 1709848930, 1709848948, 1709848966]","[1709849128, 1709849144, 1709849159, 1709849174, 1709849192, 1709849210, 1709849225, 1709849241, 1709849256, 1709849274, 1709849292, 1709849307, 1709849322, 1709849337, 1709849353, 1709849368, 1709849383, 1709849398, 1709849413, 1709849429, 1709849444, 1709849459, 1709849474, 1709849490, 1709849505, 1709849520, 1709849536, 1709849554, 1709849572, 1709849587, 1709849605, 1709849620, 1709849635, 1709849651, 1709849666, 1709849681, 1709849696]","[1709849748, 1709849763, 1709849779]","[1709849905, 1709849920, 1709849936, 1709849951, 1709849967, 1709849982]"
58:A6:39:D7:EE:9B,"[1709848775, 1709848793, 1709848811, 1709848829, 1709848847, 1709848864, 1709848882, 1709848897, 1709848912, 1709848930, 1709848948, 1709848966]","[1709849128, 1709849144, 1709849159, 1709849174, 1709849192, 1709849210, 1709849225, 1709849241, 1709849256, 1709849274, 1709849292, 1709849307, 1709849322, 1709849337, 1709849353, 1709849368, 1709849383, 1709849398, 1709849413, 1709849429, 1709849444, 1709849459, 1709849474, 1709849490, 1709849505, 1709849520, 1709849536, 1709849554, 1709849572, 1709849587, 1709849605, 1709849620, 1709849635, 1709849651, 1709849666, 1709849681, 1709849696]","[1709849748, 1709849763, 1709849779]","[1709849905, 1709849920, 1709849936, 1709849951, 1709849967, 1709849982]"
00:18:E5:04:56:19,"[1709848775, 1709848793, 1709848811, 1709848829, 1709848847, 1709848864, 1709848882, 1709848897, 1709848912, 1709848930, 1709848948, 1709848966]","[1709849128, 1709849144, 1709849159, 1709849174, 1709849192, 1709849210, 1709849225, 1709849241, 1709849256, 1709849274, 1709849292, 1709849307, 1709849322, 1709849337, 1709849353, 1709849368, 1709849383, 1709849398, 1709849413, 1709849429, 1709849444, 1709849459, 1709849474, 1709849490, 1709849505, 1709849520, 1709849536, 1709849554, 1709849572, 1709849587, 1709849605, 1709849620, 1709849635, 1709849651, 1709849666, 1709849681, 1709849696]","[1709849748, 1709849763, 1709849779]","[1709849905, 1709849920, 1709849936, 1709849951, 1709849967, 1709849982]"
30:BB:7D:73:56:82,"[1709848775, 1709848847, 1709848864, 1709848882, 1709848912, 1709848930, 1709848948, 1709848966]","[1709849128, 1709849144, 1709849159, 1709849174, 1709849192, 1709849210, 1709849225, 1709849241, 1709849256, 1709849274, 1709849292, 1709849307, 1709849337, 1709849353, 1709849368, 1709849383, 1709849398, 1709849413, 1709849429, 1709849444, 1709849459, 1709849474, 1709849490, 1709849505, 1709849536, 1709849554, 1709849572, 1709849587, 1709849605, 1709849620, 1709849635]",,
